,Tweets,id,date,likes,retweets,place
0,إصابات كورونا حول العالم تجاوزت 44 مليونا  ,1321384726104473600,2020-10-28 09:34:03,0,0,"Place(_api=<tweepy.api.API object at 0x7fd4bd008790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fd4bd008790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
1,رئيس جنوب افريقيا في العزل الذاتي بعد مخالطة مصاب بـ”كورونا”  ,1321376303870701570,2020-10-28 09:00:35,2,0,"Place(_api=<tweepy.api.API object at 0x7fd4bd008790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fd4bd008790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
2,شركتا أدوية تخصصان 200 مليون جرعة لقاح ضد كورونا للدول الفقيرة  ,1321368113451921415,2020-10-28 08:28:02,1,0,"Place(_api=<tweepy.api.API object at 0x7fd4bd008790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fd4bd008790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
3,رئيس دولة يفجر مفاجأة: طورنا عقاراً يقضي على كورونا بالكامل  ,1321360195642011649,2020-10-28 07:56:34,2,2,"Place(_api=<tweepy.api.API object at 0x7fd4bd008790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fd4bd008790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
4,إصابات كورونا حول العالم تلامس 44 مليونا  ,1321360192307486721,2020-10-28 07:56:34,0,0,"Place(_api=<tweepy.api.API object at 0x7fd4bd008790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fd4bd008790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
5,إصابات “كورونا” في الهند تقارب ثمانية ملايين  ,1321360188989820929,2020-10-28 07:56:33,1,2,"Place(_api=<tweepy.api.API object at 0x7fd4bd008790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fd4bd008790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
6,دراسة: “الأسبرين” يحد من خطورة أعراض “كورونا” ويقي خطر الوفاة  ,1321356039103508480,2020-10-28 07:40:03,0,1,"Place(_api=<tweepy.api.API object at 0x7fd4bd008790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fd4bd008790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
7,إصابات كورونا في الهند تقترب من 8 ملايين  ,1321350634193387521,2020-10-28 07:18:35,1,1,"Place(_api=<tweepy.api.API object at 0x7fd4bd008790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fd4bd008790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
8,موضوع المؤامرة اكبر من موضوع صليب. كبير جدا. في كل مجال. ممكن يكون في الاقتصاد في السياسة في الدين في الطب. و حتى في كورونا وتطعيمه. ,1321347385738452992,2020-10-28 07:05:40,0,0,"Place(_api=<tweepy.api.API object at 0x7fd4bd008790>, id='00f24ae701a1207b', url='https://api.twitter.com/1.1/geo/id/00f24ae701a1207b.json', place_type='admin', name='Abu Dhabi', full_name='Abu Dhabi, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fd4bd008790>, type='Polygon', coordinates=[[[51.2938738, 22.6261387], [56.0175464, 22.6261387], [56.0175464, 25.1639588], [51.2938738, 25.1639588]]]), attributes={})"
9,إصابات كورونا حول العالم تقترب من 44 مليونا  ,1321344092920401921,2020-10-28 06:52:35,1,1,"Place(_api=<tweepy.api.API object at 0x7fd4bd008790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fd4bd008790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
