,Tweets,id,date,likes,retweets,place
0,go corona goo . ,1333120630955405313,2020-11-29 18:48:21,1,0,"Place(_api=<tweepy.api.API object at 0x7f94e23c3790>, id='00f24ae701a1207b', url='https://api.twitter.com/1.1/geo/id/00f24ae701a1207b.json', place_type='admin', name='Abu Dhabi', full_name='Abu Dhabi, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f94e23c3790>, type='Polygon', coordinates=[[[51.2938738, 22.6261387], [56.0175464, 22.6261387], [56.0175464, 25.1639588], [51.2938738, 25.1639588]]]), attributes={})"
1,I nominate HIND HUMANITARIAN CITY for d best medical establishment 4 hosting COVID-19 patients during d difficult times fighting the pandemic here in the UAEproviding d finest medical care&amp;services to all patients equally in disregard to their nationalities or religious believes. ,1333120498637676547,2020-11-29 18:47:49,0,0,"Place(_api=<tweepy.api.API object at 0x7f94e23c3790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f94e23c3790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
2,Second dose of COVID vaccine  ,1333101581282267136,2020-11-29 17:32:39,2,0,"Place(_api=<tweepy.api.API object at 0x7f94e23c3790>, id='00f24ae701a1207b', url='https://api.twitter.com/1.1/geo/id/00f24ae701a1207b.json', place_type='admin', name='Abu Dhabi', full_name='Abu Dhabi, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f94e23c3790>, type='Polygon', coordinates=[[[51.2938738, 22.6261387], [56.0175464, 22.6261387], [56.0175464, 25.1639588], [51.2938738, 25.1639588]]]), attributes={})"
3,Four of my friends got corona.. ,1333083905193353221,2020-11-29 16:22:25,0,0,"Place(_api=<tweepy.api.API object at 0x7f94e23c3790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f94e23c3790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
4,"Total bollocks, this is a nasty virus, as is flu, and not the black death as the covid bedwetters seem to think. We need more and much bigger anti lockdown demonstrations. I fear these will become more violent as people become frustrated by these totally inecessary measures.",1333079477274939399,2020-11-29 16:04:49,4,2,"Place(_api=<tweepy.api.API object at 0x7f94e23c3790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f94e23c3790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
5,"Join us at 2020 from December 6- 10, the region’s largest cybersecurity expo. Showcasing the latest emerging technologies across AI, Internet of things and post covid solutions We look forward to seeing you ",1333060834944315399,2020-11-29 14:50:44,4,3,"Place(_api=<tweepy.api.API object at 0x7f94e23c3790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f94e23c3790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
6,nationalities or religious believes. ,1333034351198658561,2020-11-29 13:05:30,2,1,"Place(_api=<tweepy.api.API object at 0x7f94e23c3790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f94e23c3790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
7,"I nominate HIND HUMANITARIAN CITY for the best medical establishment for hosting COVID-19 patients during the difficult times fighting the pandemic here in the UAE, providing the finest medical care and services to all patients equally in disregard to their ",1333034172496162823,2020-11-29 13:04:47,1,0,"Place(_api=<tweepy.api.API object at 0x7f94e23c3790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f94e23c3790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
8,"Dad filled in petrol after 9months gap  That’s how bad covid has affected people, especially senior citizens",1333033417391415297,2020-11-29 13:01:47,2,0,"Place(_api=<tweepy.api.API object at 0x7f94e23c3790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f94e23c3790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
9,"The COVID pandemic is getting worse by the day. People who have already recovered from COVID can donate a component of their blood – plasma, which is rich in antibodies that can help a critically ill patient better fight. Pls connect with  ",1333025035313876994,2020-11-29 12:28:29,26,16,"Place(_api=<tweepy.api.API object at 0x7f94e23c3790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f94e23c3790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
