,Tweets,id,date,likes,retweets,place
0,It’s all politics. Not worried about the Health of poor farmers in the time of covid and harsh cold weather,1334200363898056707,2020-12-02 18:18:49,0,0,"Place(_api=<tweepy.api.API object at 0x7fe770758790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fe770758790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
1,"If God be for you, who/what can possibly be against you You are more than conquerors and Covid doesn't stand a chance against the Lord's hand upon your lives",1334164444201541636,2020-12-02 15:56:05,1,0,"Place(_api=<tweepy.api.API object at 0x7fe770758790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fe770758790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
2,COVID you took so much... but this is too much...   Can someone call about this  ,1334157449377484800,2020-12-02 15:28:18,0,0,"Place(_api=<tweepy.api.API object at 0x7fe770758790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fe770758790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
3,Met a woman today who said covid isn’t the Black Plague and we should let it run it’s course. I’ve now doubled the distance from her and won’t be social,1334131766299414533,2020-12-02 13:46:14,6,0,"Place(_api=<tweepy.api.API object at 0x7fe770758790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fe770758790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
4,"""UK approves Pfizer/BioNTech COVID-19 vaccine and could begin vaccinations next week"" ",1334126425557884929,2020-12-02 13:25:01,0,0,"Place(_api=<tweepy.api.API object at 0x7fe770758790>, id='00f24ae701a1207b', url='https://api.twitter.com/1.1/geo/id/00f24ae701a1207b.json', place_type='admin', name='Abu Dhabi', full_name='Abu Dhabi, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fe770758790>, type='Polygon', coordinates=[[[51.2938738, 22.6261387], [56.0175464, 22.6261387], [56.0175464, 25.1639588], [51.2938738, 25.1639588]]]), attributes={})"
5,"Second trip to Dubai during Corona, and I can see the activity at the airport increasing. In October, it had only two more flights along with mine for same time of the day and week. Ground rules are still as strict as before, the experience has only become better and faster. ",1334111752510976001,2020-12-02 12:26:43,2,0,"Place(_api=<tweepy.api.API object at 0x7fe770758790>, id='0fc2e93c24d5e000', url='https://api.twitter.com/1.1/geo/id/0fc2e93c24d5e000.json', place_type='poi', name='Dubai International Airport (DXB)', full_name='Dubai International Airport (DXB)', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fe770758790>, type='Polygon', coordinates=[[[55.358106, 25.252716], [55.358106, 25.252716], [55.358106, 25.252716], [55.358106, 25.252716]]]), attributes={})"
6,became friends to the affected ones became caretaker of the lonely elders became umbrellas for other people who were in need in times of covid,1334102342057271298,2020-12-02 11:49:19,15,10,"Place(_api=<tweepy.api.API object at 0x7fe770758790>, id='00ecb59b0dad186e', url='https://api.twitter.com/1.1/geo/id/00ecb59b0dad186e.json', place_type='admin', name='Sharjah', full_name='Sharjah, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fe770758790>, type='Polygon', coordinates=[[[55.0091271, 24.7328863], [56.3816989, 24.7328863], [56.3816989, 25.8997649], [55.0091271, 25.8997649]]]), attributes={})"
7,KSCC done a great Humanitarian services during covid-19 pandemic,1334101398275940356,2020-12-02 11:45:34,1,0,"Place(_api=<tweepy.api.API object at 0x7fe770758790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fe770758790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
8,"If we keep the hotels closed for more than 9 months, people will die from starvation. Govt is right in opening the tourism sector with proper health guidelines. For example a pre and on arrival PCR test should minimise the Covid risk.",1334101383499362305,2020-12-02 11:45:30,0,0,"Place(_api=<tweepy.api.API object at 0x7fe770758790>, id='001907e868d06e24', url='https://api.twitter.com/1.1/geo/id/001907e868d06e24.json', place_type='admin', name='Dubai', full_name='Dubai, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fe770758790>, type='Polygon', coordinates=[[[54.8939725, 24.6182526], [56.2083722, 24.6182526], [56.2083722, 25.3686719], [54.8939725, 25.3686719]]]), attributes={})"
9,KSCC done a great Humanitarian services during covid-19 pandemic,1334099160979693568,2020-12-02 11:36:40,8,7,"Place(_api=<tweepy.api.API object at 0x7fe770758790>, id='00ecb59b0dad186e', url='https://api.twitter.com/1.1/geo/id/00ecb59b0dad186e.json', place_type='admin', name='Sharjah', full_name='Sharjah, United Arab Emirates', country_code='AE', country='United Arab Emirates', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fe770758790>, type='Polygon', coordinates=[[[55.0091271, 24.7328863], [56.3816989, 24.7328863], [56.3816989, 25.8997649], [55.0091271, 25.8997649]]]), attributes={})"
